Species,Class,Dmin,Dmax,Vs,Ci,nshell
E. huxleyi,Haptophyceae,3,7,Vs1,Ci2,nshell3
P. cruentum,Rhodophyceae,4,8,Vs1,Ci2,nshell2
C. fragarioides,Cryptophyceae,4,8,Vs1,Ci2,nshell2
P. parvum,Haptophyceae,5,9,Vs1,Ci2,nshell2
D. bioculata,Chlorophyceae,5,9,Vs3,Ci2,nshell2
