Species,Class,Dmin,Dmax,Dint,Vs,Ci,nshell,ncore
Prochlorococcus,Cyanophyceae,0.5,1,0.1,Vs1,Ci3,nshell1,ncore1
Synechococcus,Cyanophyceae,1,2,0.2,Vs1,Ci2,nshell3,ncore2
A. marina,Cyanophyceae,2,5,1,Vs1,Ci2,nshell2,ncore2
P. pinguis,Haptophyceae,5,8,1,Vs2,Ci2,nshell2,ncore2
T. pseudonana,Bacillariophyceae,5,8,1,Vs1,Ci2,nshell2,ncore2
P. lutheri,Haptophyceae,3,6,1,Vs3,Ci2,nshell3,ncore2
I. galbana,Haptophyceae,6,11,1,Vs3,Ci2,nshell2,ncore2
