,Chlorophyll-a,Chlorophyll-b,DV chlorophyll-a,Chlorophyllide-a,Phaeophorbide-a,Phaeophytin-a,Chlorophyll C3,chlorophyll c2,Peridinin,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,19'-keto-hexanoyloxyfucoxanthin,Violaxanthin,19'-hexanoyloxyfucoxanthin,Astaxanthin,Diadinoxanthin,Dinoxanthin,Antheraxanthin,Alloxanthin,Myxoxanthophyll,Diatoxanthin,Zeaxanthin,Lutein,Canthaxanthin,Gyroxanthin diester,Echinenone,"B,e-carotene","B,B-carotene"
726,-7.05888888888897e-05,-2.0077777777779313e-05,-0.00010035644444444463,0.00034732366666666536,0.00027997744444444456,0.0003020980000000003,0.0004219473333333329,-0.00010942388888889198,0.0002637296666666647,0.00040971777777777847,0.00026925566666666624,0.0012734678888888912,1.8977777777779063e-05,0.0006319911111111123,0.00016106311111110908,-0.00041866311111111385,0.00013758722222222293,0.0008186945555555547,0.0005894262222222236,0.0010444286666666648,0.00026834111111111213,0.0006894368888888885,0.0001301293333333332,0.0004223667777777747,0.00020174833333333185,0.00025753177777777916,0.0008917854444444387,0.00030821288888888566,0.00011864399999999862,0.0009824354444444437
727,-9.927225000000045e-05,-6.357499999999928e-05,-0.00011016150000000053,0.00030947225000000055,0.0002798392499999995,0.00031425850000000026,0.0004128715000000007,-0.00020388324999999952,0.00019794174999999934,0.0004513662500000029,0.0002697147500000018,0.0013270864999999975,6.400000000000062e-05,0.0006782910000000012,0.00012338100000000376,-0.0005093575000000004,0.00014545374999999788,0.0008031180000000015,0.0006244317499999992,0.0010169597500000044,0.0002936667499999988,0.0006821250000000008,0.00012776100000000027,0.0003366635000000013,0.0001705925000000023,0.0002871957499999979,0.0007279535000000023,0.00024550925000000544,6.962499999999931e-05,0.0009603072499999994
728,-0.00012544011111111057,-9.83177777777762e-05,-0.00011520733333333353,0.000370189555555554,0.0002743913333333332,0.0003250831111111109,0.00046278311111111004,-0.00018802444444444464,0.0001912393333333331,0.0004823218888888898,0.00029785733333333365,0.0013117325555555544,7.759999999999999e-05,0.000679250222222223,0.00016273911111111238,-0.0004934317777777785,0.00011806222222222167,0.0008363989999999999,0.0006215309999999996,0.001121266333333333,0.0002668258888888889,0.0006808782222222228,0.00015372177777777716,0.0003628625555555556,0.00020869211111111143,0.0002693405555555547,0.000761142555555556,0.0003279898888888899,0.00010534133333333173,0.0009601773333333329
729,-0.00013011462499999907,-0.00012878812499999816,-0.00011026712500000016,0.00037294337499999675,0.00028753237500000036,0.00032164324999999936,0.00044512137499999653,-0.0002138950000000019,0.00023799350000000213,0.00046877925000000134,0.0002952102500000006,0.0013014044999999968,5.797499999999885e-05,0.000666286750000001,0.000148853625000002,-0.0004926727500000017,0.00011395749999999851,0.0007936296249999974,0.0006418041250000002,0.0010358473749999945,0.0002771270000000007,0.0006690860000000006,0.00016106274999999902,0.000395597000000002,0.00015017912499999743,0.0003181018750000009,0.0008587263750000066,0.00026951412499999895,7.028799999999443e-05,0.001010765875000002
730,-0.00011544855555555572,-7.846266666666779e-05,-7.325866666666806e-05,0.00029627144444444595,0.00028822611111111124,0.0003054737777777781,0.00042228377777777726,-0.0001867578888888906,0.00020762188888889078,0.0004296327777777797,0.0002907351111111115,0.0013856429999999957,5.165555555555534e-05,0.0006556216666666675,0.0001678332222222223,-0.0004950960000000005,0.00015564744444444237,0.0008226016666666646,0.000571522333333336,0.0009485407777777788,0.00027549822222222255,0.0006754617777777778,7.28257777777806e-05,0.0003544672222222245,0.0001856325555555533,0.00030444400000000083,0.0008165965555555596,0.00024634022222222267,2.137777777777742e-05,0.0009627050000000025
731,-3.1e-05,-2.8899999999999998e-05,-0.000109206,0.00033181199999999996,0.00027183,0.000326887,0.000397459,-0.000223632,0.00022675200000000001,0.00045611699999999997,0.00030589999999999995,0.0013237770000000002,6.86e-05,0.00071364,0.00013090200000000001,-0.000555909,0.000157394,0.0008037039999999999,0.000571884,0.0009848069999999999,0.000251525,0.000654131,8.159999999999999e-05,0.00042365800000000004,0.00019176599999999998,0.000290231,0.000748049,0.000327445,0.00013550700000000002,0.0009669160000000001
732,-8.641249999999927e-05,-3.2949999999998815e-05,-9.994562500000011e-05,0.0003450251249999983,0.00026982562499999974,0.0003132156249999996,0.0004259610000000004,-0.00024187587499999914,0.00020921325000000012,0.00032967300000000206,0.0003300612500000012,0.001262204125,7.847499999999926e-05,0.0007106936250000014,0.00012275712500000132,-0.0005340526250000005,0.0001527681250000007,0.0007704948750000007,0.0005833516250000015,0.001123664875000001,0.00027667537499999947,0.0006798465000000008,3.6111750000001395e-05,0.00036873599999999934,0.00013943700000000104,0.0002302558750000014,0.0006461538750000017,0.0002767877500000008,8.250000000000027e-05,0.000973835250000001
733,-8.492166666666237e-05,-5.53333333332941e-06,-0.00010764666666666644,0.0002999196666666619,0.00026740999999999863,0.00030264733333333225,0.00044420300000000006,-0.00020809833333333247,0.00022250566666666576,0.00042687366666666716,0.00036317900000000356,0.0012863509999999966,3.190000000000126e-05,0.0007610633333333357,0.0001990059999999986,-0.0005421863333333348,0.00018794533333333326,0.0007913616666666676,0.0006684206666666647,0.0011138536666666738,0.00025830199999999915,0.0007343533333333313,0.00012125199999999791,0.00035539833333333114,0.0001767210000000018,0.00030384099999999936,0.0007548773333333302,0.0003105890000000007,0.00011673066666666393,0.001031895999999999
734,-0.00013465344444444502,-8.626311111111052e-05,-8.485000000000083e-05,0.00035687611111111163,0.0002794395555555559,0.00031661844444444453,0.0004323863333333337,-0.00021650122222222241,0.0002427923333333332,0.0004341247777777773,0.0003158054444444442,0.0012625670000000022,5.3573333333332016e-05,0.0007401179999999995,0.0002008246666666673,-0.0005032912222222227,0.00016897977777777842,0.0007865396666666664,0.0006825757777777784,0.0010376307777777765,0.0002763742222222221,0.0007155968888888905,0.00011724888888889005,0.00039774744444444425,0.0001278254444444451,0.00029101633333333403,0.000844208222222221,0.00031780922222222164,0.00012564000000000108,0.000989110000000002
735,-9.513024999999906e-05,-5.85344999999971e-05,-0.00011086250000000335,0.0003199987499999991,0.0002775602500000006,0.00031202587499999993,0.0003978504999999988,-0.0002254921250000009,0.00024450337499999967,0.0004414494999999993,0.0003540828750000016,0.0013061720000000078,0.00010074937499999972,0.0007585754999999999,0.00015721924999999895,-0.0005287290000000026,0.00015998325000000091,0.0008135567500000008,0.0006904105000000017,0.0011372742500000029,0.00028846075000000035,0.0006455911249999995,0.00016744000000000548,0.00037773549999999836,0.00018739975000000485,0.0003032667500000023,0.0007841116249999938,0.00029485887499999737,0.00010497437500000127,0.0009116918749999999
