Species,Class,Dmin,Dmax,Vs,Ci,nshell
D. tertiolecta,Chlorophyceae,6,11,Vs3,Ci2,nshell2
C. curvisetum,Bacillariophyceae,6,11,Vs2,Ci1,nshell2
H. elongata,Haptophyceae,10,15,Vs2,Ci1,nshell2
P. micans,Dinophyceae,30,41,Vs3,Ci1,nshell2
